Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Nagazi,Settlement,town,Adavi,High (20k-50k),1,7.5981262,6.2317518,"https://www.google.com/maps/search/?api=1&query=7.5981262,6.2317518"
Obangede,Settlement,village,Adavi,Medium (2k-10k),2,7.5993259,6.2023227,"https://www.google.com/maps/search/?api=1&query=7.5993259,6.2023227"
Osara,Settlement,village,Adavi,Medium (2k-10k),2,7.6767208,6.416638,"https://www.google.com/maps/search/?api=1&query=7.6767208,6.416638"
Ogaminan,Settlement,village,Adavi,Medium (2k-10k),2,7.594643,6.224761,"https://www.google.com/maps/search/?api=1&query=7.594643,6.224761"
Adankolo,Settlement,town,Adavi,High (20k-50k),1,7.8032,6.6963,"https://www.google.com/maps/search/?api=1&query=7.8032,6.6963"
Zango-ndaji,Settlement,town,Adavi,High (20k-50k),1,7.8123073,6.6392983,"https://www.google.com/maps/search/?api=1&query=7.8123073,6.6392983"
Itakpe Junction,Settlement,village,Adavi,Medium (2k-10k),2,7.6238,6.3009,"https://www.google.com/maps/search/?api=1&query=7.6238,6.3009"
Unmapped Cluster (Adavi - 7.7016),Settlement,village,Adavi,Medium (2k-10k),2,7.7016171,6.4423186,"https://www.google.com/maps/search/?api=1&query=7.7016171,6.4423186"
Itakpe,Settlement,village,Adavi,Medium (2k-10k),2,7.6350099,6.3313865,"https://www.google.com/maps/search/?api=1&query=7.6350099,6.3313865"
Eika -Adagu,Settlement,town,Adavi,High (20k-50k),1,7.614025,6.2737445,"https://www.google.com/maps/search/?api=1&query=7.614025,6.2737445"
Otite,Settlement,town,Adavi,High (20k-50k),1,7.6055495,6.2572972,"https://www.google.com/maps/search/?api=1&query=7.6055495,6.2572972"
Eika-Adagu New Layout,Settlement,town,Adavi,High (20k-50k),1,7.610739,6.240689,"https://www.google.com/maps/search/?api=1&query=7.610739,6.240689"
Uhuodo,Settlement,town,Adavi,High (20k-50k),1,7.5920222,6.201636,"https://www.google.com/maps/search/?api=1&query=7.5920222,6.201636"
Ozuri,Settlement,town,Adavi,High (20k-50k),1,7.583961,6.2160556,"https://www.google.com/maps/search/?api=1&query=7.583961,6.2160556"
Unmapped Cluster (Adavi - 7.7793),Settlement,hamlet,Adavi,Low (<1k),2,7.77933236271548,6.661486576136597,"https://www.google.com/maps/search/?api=1&query=7.77933236271548,6.661486576136597"
Unmapped Cluster (Adavi - 7.7950),Settlement,hamlet,Adavi,Low (<1k),2,7.7950318932901075,6.643527869555665,"https://www.google.com/maps/search/?api=1&query=7.7950318932901075,6.643527869555665"
Unmapped Cluster (Adavi - 7.7582),Settlement,hamlet,Adavi,Low (<1k),2,7.758277308254798,6.586060529719532,"https://www.google.com/maps/search/?api=1&query=7.758277308254798,6.586060529719532"
Unmapped Cluster (Adavi - 7.7676),Settlement,hamlet,Adavi,Low (<1k),2,7.767623492576748,6.590463859358614,"https://www.google.com/maps/search/?api=1&query=7.767623492576748,6.590463859358614"
Unmapped Cluster (Adavi - 7.7864),Settlement,hamlet,Adavi,Low (<1k),2,7.786434386540343,6.585941280332907,"https://www.google.com/maps/search/?api=1&query=7.786434386540343,6.585941280332907"
Ilubusechi,Settlement,village,Ajaokuta,Medium (2k-10k),2,7.531678,6.451766,"https://www.google.com/maps/search/?api=1&query=7.531678,6.451766"
